Date,Temperature(C),TdAvg(C),Hr.Avg(%),Wind(km/h),Pres.e.lev(Hp),Prec.(mm),TotClOct,lowClOct,VisKm
01/01/2019,-----,-----,-----,62.3,SE,6.2,----,,
12/31/2019,12.5,9.0,10.1,72.5,WSW,6.9,0.5,,
12/30/2019,12.1,8.3,9.4,78.5,W,3.7,----,,
12/29/2019,12.0,7.2,8.9,79.5,SW,2.3,9.1,,
12/28/2019,8.9,7.1,7.8,83.8,WSW,8.8,32.0,,
12/27/2019,15.9,8.4,10.8,73.5,WSW,8.8,33.0,,
12/26/2019,15.4,9.2,11.6,69.8,WSW,3.2,0.0,,
12/25/2019,17.9,8.0,11.8,71.2,ESE,1.9,0.0,,
12/24/2019,16.2,10.3,11.2,78.8,WSW,4.2,0.0,,
12/23/2019,16.1,-----,-----,73.2,WSW,1.4,0.0,,
12/22/2019,14.5,8.2,10.7,78.0,W,1.4,0.0,,
12/21/2019,14.6,9.4,11.1,74.5,WNW,2.8,3.0,,
12/20/2019,-----,-----,-----,-----,----,----,----,,
12/19/2019,14.4,9.6,10.9,75.5,E,2.3,0.0,,
12/18/2019,16.8,11.5,13.2,69.2,SW,6.5,4.0,,
12/17/2019,15.6,10.0,11.8,75.2,SW,4.6,0.0,,
12/16/2019,-----,-----,-----,66.7,ESE,3.7,----,,
12/15/2019,17.4,5.4,10.0,64.0,ESE,6.0,0.0,,
12/14/2019,-----,-----,-----,66.7,E,1.9,0.0,,
12/13/2019,-----,-----,-----,73.7,WSW,6.2,5.0,,
12/12/2019,16.4,12.3,13.3,62.5,SW,4.6,0.0,,
12/11/2019,-----,-----,-----,68.0,SW,1.4,0.0,,
12/10/2019,16.4,9.8,11.8,72.0,SW,2.8,0.0,,
12/09/2019,15.3,11.3,12.1,82.0,W,2.6,3.0,,
12/08/2019,12.1,10.8,11.1,83.2,SSW,7.4,52.0,,
12/07/2019,11.3,8.9,10.4,82.0,SSW,8.8,58.0,,
12/06/2019,-----,-----,-----,64.7,SSE,1.9,4.0,,
12/05/2019,15.8,11.0,12.9,52.8,SW,3.7,0.0,,
12/04/2019,-----,-----,-----,60.8,SSE,5.6,0.0,,
12/03/2019,20.0,10.6,13.3,58.0,ESE,7.9,0.0,,
12/02/2019,-----,-----,-----,61.0,S,6.8,0.0,,
12/01/2019,16.9,-----,-----,68.3,SSW,6.8,0.0,,
11/30/2019,19.4,13.0,15.6,69.8,SE,1.4,0.0,,
11/29/2019,21.4,14.8,17.2,59.2,ESE,5.6,0.0,,
11/28/2019,22.4,-----,-----,50.7,SE,7.4,0.0,,
11/27/2019,21.9,12.7,15.0,57.5,SE,3.2,0.0,,
11/26/2019,18.4,13.3,14.4,73.2,WSW,2.3,0.0,,
11/25/2019,18.7,11.6,12.7,79.5,CAL,0.0,0.0,,
11/24/2019,13.7,10.7,11.3,77.2,ESE,3.2,12.0,,
11/23/2019,15.6,11.0,13.9,75.0,W,1.4,3.0,,
11/22/2019,20.6,14.5,16.0,74.0,WSW,5.6,2.0,,
11/21/2019,19.5,16.1,17.1,57.8,W,2.3,0.0,,
11/20/2019,22.9,12.5,16.6,55.2,NNW,1.4,0.0,,
11/19/2019,24.1,14.4,16.8,50.8,SE,4.6,0.0,,
11/18/2019,23.7,10.0,15.7,56.0,ESE,4.6,0.0,,
11/17/2019,22.0,12.2,14.7,73.0,CAL,0.0,8.0,,
11/16/2019,16.6,14.0,14.6,70.8,SSW,3.7,0.0,,
11/15/2019,18.6,11.7,14.1,78.2,W,1.4,0.0,,
11/14/2019,18.4,12.9,14.9,76.2,E,3.7,1.0,,
11/13/2019,-----,-----,-----,59.0,SSE,1.9,0.0,,
05/31/2019,37.1,27.9,31.2,20.2,WNW,3.7,0.0,,
05/30/2019,38.7,24.3,30.9,17.8,NE,3.2,0.0,,
05/29/2019,37.1,23.5,28.1,32.8,W,3.2,0.0,,
05/28/2019,32.1,-----,-----,41.5,WNW,5.6,0.0,,
05/27/2019,30.6,16.0,21.5,43.2,WNW,3.7,0.0,,
05/26/2019,30.1,19.3,22.3,27.5,W,6.0,0.0,,
05/25/2019,32.2,22.2,27.2,40.0,W,7.9,0.0,,
05/24/2019,33.0,28.9,31.6,16.8,WSW,6.5,0.0,,
05/23/2019,-----,-----,-----,14.0,WNW,1.9,0.0,,
05/22/2019,34.9,25.4,28.2,19.0,NNW,3.2,0.0,,
05/21/2019,-----,-----,-----,31.5,W,3.7,0.0,,
05/20/2019,27.0,-----,-----,57.3,WSW,6.2,----,,
05/19/2019,-----,-----,-----,-----,----,----,----,,
05/18/2019,26.3,16.0,20.5,49.2,WNW,5.6,0.0,,
05/17/2019,34.6,26.1,28.9,19.0,SE,3.2,0.0,,
05/16/2019,-----,-----,-----,28.0,NW,1.2,0.0,,
